"","UF","Year","ProducAlgCar","ProducCarAlg","ProduCafe","ProduCana","ProduMilho","ProduSoja","ProduTrigo"
"360","GO",2013,210.6,127.7,41.5974681164416,62017.735,7999.1,8994.9,39.3
"361","MA",2013,77,46.6,NA,2206.14,1725.9,1823.7,0
"362","MG",2013,72.5,44.2,26.6526112524896,60759.478,6943,3327,119.8
"363","MS",2013,160.3,97,NA,41496.039,8179.6,6148,7.7
"364","MT",2013,2546.7,1540.7,8.2096696984203,16948.513,18049.4,26441.6,0
"365","PA",2013,0,0,19.0662697791007,818.57,536.8,668.6,0
"366","PB",2013,0.1,0,NA,5283.07,35.4,0,0
"367","PE",2013,0.2,0.1,NA,14402.28,94,0,0
"368","PI",2013,49.9,30.2,NA,851.6,1029.4,1489.2,0
"369","PR",2013,2.1,1.3,25.3261703760553,42230.96,15671.8,14780.7,1842.6
"370","RJ",2013,0,0,21.1660138595963,2007.605,10.3,0,0
"371","RN",2013,1.5,0.9,NA,2158.2,20.5,0,0
"372","RO",2013,0,0,13.195254764683,188.27,455.5,607.7,0
"373","RR",2013,0,0,NA,0,6,56.2,0
"374","RS",2013,0,0,NA,73.24,5717,12867.7,3178.4
"375","SC",2013,0,0,NA,0,3485,1644.4,236.7
"376","SE",2013,0,0,NA,2321.33,1058.2,0,0
"377","SP",2013,27,16.3,24.7036102717637,372805.908,3714.6,1688.3,90.8
"378","TO",2013,19.3,11.9,NA,2334.04,683.5,2058.8,0
"379","AC",2014,0,0,NA,0,99.2,0,0
"380","AL",2014,0,0,NA,22422.5,27.5,0,0
"381","AM",2014,0,0,NA,187.1,29.3,0,0
"382","AP",2014,0,0,NA,0,1.7,0,0
"383","BA",2014,1138.5,693.3,16.4740897185613,3709.1,2818.4,4075.8,0
"384","CE",2014,1.2,0.8,NA,130.5,428.7,0,0
"385","DF",2014,0,0,NA,0,458.7,144.7,8.4
"386","ES",2014,0,0,29.5578452689259,3191.7,25.4,0,0
"387","GO",2014,136.3,82.6,38.5542953982532,66329.4,8160.5,8586.2,53.4
"388","MA",2014,85.3,51.6,NA,2347.9,1428,1861,0
"389","MG",2014,67.7,41.3,22.7560826828825,59528.7,6745.4,3359.4,204.3
